search_term,sp500no,Company Name,link
JPMorgan Chase,255,JPMorgan Chase & Co.,https://www.youtube.com/user/jpmorgan
Kellogg,256,Kellogg Company,https://www.youtube.com/user/kelloggcompany
KeyCorp,257,KeyCorp,https://www.youtube.com/user/keybankcommunity
Keysight Technologies,258,Keysight Technologies Inc,https://www.youtube.com/user/keysight
KLA Corporation,261,KLA Corporation,https://www.youtube.com/c/KLACorp
Kimberly-Clark,262,Kimberly-Clark Corporation,https://www.youtube.com/user/KimberlyClarkComms
Kinder Morgan,263,Kinder Morgan Inc Class P,https://www.youtube.com/channel/UCGodkFZt8Ca8Gb9DVtbigmQ
CarMax,264,"CarMax, Inc.",https://www.youtube.com/channel/UC-kNP_fPjvyQqC25VcHhDMQ
Coca-Cola,265,Coca-Cola Company,https://www.youtube.com/user/CocaColaCo
Kroger,266,Kroger Co.,https://www.youtube.com/c/KrogerCo
Kansas City Southern,267,Kansas City Southern,https://www.youtube.com/user/KCS1887
Leidos Holdings,270,"Leidos Holdings, Inc.",https://www.youtube.com/user/LeidosInc
Lennar,272,Lennar Corporation Class A,https://www.youtube.com/user/LennarOnline
Laboratory Corp. of America,273,Laboratory Corporation of America Holdings,https://www.youtube.com/c/LabcorpVideo
L3Harris Technologies,274,L3Harris Technologies Inc,https://www.youtube.com/channel/UCENNhz_O63zkKUHkj6bsIIQ
Linde,275,Linde plc,https://www.youtube.com/c/thelindegroup
Eli Lilly,277,Eli Lilly and Company,https://www.youtube.com/user/EliLillyandCompany
Lockheed Martin,278,Lockheed Martin Corporation,https://www.youtube.com/user/LockheedMartinVideos
Lincoln National,279,Lincoln National Corporation,https://www.youtube.com/user/LincolnFinancialGrp
Alliant Energy Corp,280,Alliant Energy Corp,https://www.youtube.com/user/AlliantEnergyVideo
Lowe's,281,"Lowe's Companies, Inc.",https://www.youtube.com/c/Lowes
Lam Research,282,Lam Research Corporation,https://www.youtube.com/user/LamResearchCorp
Lumen Technologies,283,"Lumen Technologies, Inc.",https://www.youtube.com/c/lumentechnologies
Southwest Airlines,284,Southwest Airlines Co.,https://www.youtube.com/user/NutsAboutSouthwest
Live Nation Entertainment,288,"Live Nation Entertainment, Inc.",https://www.youtube.com/user/livenation
Mastercard,289,Mastercard Incorporated Class A,https://www.youtube.com/user/MasterCard
Marriott International,291,"Marriott International, Inc. Class A",https://www.youtube.com/user/marriott
McDonald's,293,McDonald's Corporation,https://www.youtube.com/channel/UCNQq5T_iBwM6zi2_lOGPnGA
Microchip Technology Incorporated,294,Microchip Technology Incorporated,https://www.youtube.com/user/MicrochipTechnology
Moody's Corporation,296,Moody's Corporation,https://www.youtube.com/channel/UCyWqT8lrGbRqWa30c_l5iSw
Mondelez International,297,"Mondelez International, Inc. Class A",https://www.youtube.com/channel/UC4K4zLoKvkhNhgRTctZu8JA
Medtronic,298,Medtronic Plc,https://www.youtube.com/user/MedtronicCorp
MetLife,299,"MetLife, Inc.",https://www.youtube.com/user/Metlife
MGM Resorts International,300,MGM Resorts International,https://www.youtube.com/user/mlifetv
Mohawk Industries,301,"Mohawk Industries, Inc.",https://www.youtube.com/c/mohawkflooring
3M,306,3M Company,https://www.youtube.com/c/3MCorporate
Mosaic Company,309,Mosaic Company,https://www.youtube.com/user/MosaicCompany
Marathon Petroleum,310,Marathon Petroleum Corporation,https://www.youtube.com/channel/UC2VMk_st5c0dOZiLzCPhv2g
Monolithic Power Systems,311,"Monolithic Power Systems, Inc.",https://www.youtube.com/channel/UCqOx8jWRKEq4TpfcjCz0Isw
Merck,312,"Merck & Co., Inc.",https://www.youtube.com/user/Merck
Marathon Oil Corporation,313,Marathon Oil Corporation,https://www.youtube.com/user/MarathonOilCorp
Morgan Stanley,314,Morgan Stanley,https://www.youtube.com/user/mgstnly
MSCI,315,MSCI Inc. Class A,https://www.youtube.com/user/MSCIChannel
Microsoft,316,Microsoft Corporation,https://www.youtube.com/c/Microsoft
Motorola Solutions,317,"Motorola Solutions, Inc.",https://www.youtube.com/user/MotorolaSolutions
Mettler-Toledo International,319,Mettler-Toledo International Inc.,https://www.youtube.com/user/mettlertoledo
